URL that gets  404,Response Code,News Error,Detected,Category,Platform,Last crawled,URL to redirect to
http://www.meadowmere.com/Environmental_Attractions.html,404,,12/16/2013,Not found,Desktop,9/30/2015,http://www.meadowmere.com/about-2/environmental-leader/environmental-attractions
http://www.meadowmere.com/specials-packagesOgunquit_Honeymoon_Romance.html?page=Packages___Specials/Ogunquit_Honeymoon_Romance.html,404,,9/19/2014,Not found,Desktop,7/13/2015,http://www.meadowmere.com/specials-packages/romantic-honeymoon-getaway
http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/mother-s-day-2,404,,1/20/2015,Not found,Desktop,9/13/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/mother-s-day
http://www.meadowmere.com/specials-packages/unique-specials/summer-stay-free,404,,5/7/2015,Not found,Desktop,10/5/2015,Leave - this package gets turned on Jan - May/ off rest of year and can go to the redirect page
http://www.meadowmere.com/sites-events/activities-in-ogunquit?page=Places_to_Go.html,404,,2/8/2015,Not found,Desktop,8/9/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/places-to-go
http://www.meadowmere.com/specials-packagesPatriot_s_Day_Festival.html?page=Packages___Specials/Patriot_s_Day_Festival.html,404,,9/14/2014,Not found,Desktop,7/14/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/patriot-s-day
http://www.meadowmere.com/specials-packages?page=vacationpackages.html,404,,1/14/2015,Not found,Desktop,7/11/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/specials-packagesMeadowmere_Stay_Rewards.html?page=Packages___Specials/Meadowmere_Stay_Rewards.html,404,,9/19/2014,Not found,Desktop,7/13/2015,http://www.meadowmere.com/specials-packages/unique-specials/hotel-stay-rewords
http://www.meadowmere.com/specials-packagesOgunquit_Dining_Package.html?page=Packages___Specials/Ogunquit_Dining_Package.html,404,,9/16/2014,Not found,Desktop,7/13/2015,http://www.meadowmere.com/specials-packages/eat-drink-be-merry
http://www.meadowmere.com/about/health-club-spa-overview/spa-services?page=spa.html,404,,1/21/2015,Not found,Desktop,8/11/2015,http://www.meadowmere.com/about/health-club-spa-overview/spa-services
http://www.meadowmere.com/sites-events/events-in-ogunquit?page=ogunquit_events.html,404,,1/17/2015,Not found,Desktop,8/25/2015,http://www.meadowmere.com/local-attractions/events-in-ogunquit
http://www.meadowmere.com/Packages___Specials/punkinfiddle.html,404,,9/30/2015,Not found,Desktop,9/30/2015,http://www.meadowmere.com/specials-packages/local-festivals-and-celebrations/pumpkin-fiddle-festival
"http://www.meadowmere.com/We%20ask%20that%20you%20provide%20materials%20to%20us%20no%20later%20than%20June%206th%20by%20dropping%20them%20at%20the%20resort%20front%20desk,%20attn:%20Jill/Carrie.%20Should%20you%20provide%20a%20DVD%20for%20showing,%20please%20let%20us%20know%20in%20advance%20so%20that%20we%20may%20test%20your%20DVD%20in%20our%20system.",404,,3/30/2015,Not found,Desktop,7/8/2015,No idea what this is. Redirect page.
http://www.meadowmere.com/news-press/e-newsletter?page=public/index.cfm&fuseaction=calendar.list&month=%7Bts%20'2007-07-18%2011:00:17'%7D&cat=ALL,404,,1/16/2015,Not found,Desktop,7/22/2015,http://www.meadowmere.com/news-press/e-newsletter
http://www.meadowmere.com/mobile/mobile/about-m,404,,9/14/2015,Not found,Desktop,9/14/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/mobile/sign-up-for-our-newsletter,404,,9/25/2015,Not found,Desktop,9/25/2015,http://www.meadowmere.com/newsletter-signup-form
http://www.meadowmere.com/privacy-policy,404,,9/7/2015,Not found,Desktop,9/25/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/sign-up-for-our-newsletter,404,,9/15/2015,Not found,Desktop,9/15/2015,http://www.meadowmere.com/newsletter-signup-form
http://www.meadowmere.com/mobile/environmental-policy-2,404,,9/26/2015,Not found,Desktop,9/26/2015,http://www.meadowmere.com/environmental-policy
http://www.meadowmere.com/sites-events/activities-in-ogunquit?page=Things_To_Do.html,404,,1/17/2015,Not found,Desktop,8/26/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit
http://www.meadowmere.com/mobile/mobile/sign-up-for-our-newsletter,404,,9/25/2015,Not found,Desktop,9/25/2015,http://www.meadowmere.com/newsletter-signup-form
http://www.meadowmere.com/calendar/313/mobile/mobile/about-m,404,,9/15/2015,Not found,Desktop,9/15/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/environmental-policy-2,404,,9/16/2015,Not found,Desktop,9/16/2015,http://www.meadowmere.com/environmental-policy
http://www.meadowmere.com/calendar/313/mobile/specials-packages/local-festivals-and-celebrations/celebrate-maine-festival,404,,9/23/2015,Not found,Desktop,9/23/2015,This festival does not exist anymore. So either redirect or http://www.meadowmere.com/specials-packages/family
http://www.meadowmere.com/terms-of-use?page=Terms_Of_Use.html,404,,9/9/2015,Not found,Desktop,9/11/2015,http://www.meadowmere.com/terms-of-use
http://www.meadowmere.com/about/health-club-spa-overview/tanning?page=Tanning.html,404,,9/23/2015,Not found,Desktop,9/23/2015,http://www.meadowmere.com/about/health-club-spa-overview/tanning
http://www.meadowmere.com/calendar/313/mobile/about-m,404,,9/14/2015,Not found,Desktop,9/14/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/sites-events/planning-a-special-event-overview/weddings?page=wedding_resources.html,404,,8/5/2015,Not found,Desktop,8/5/2015,http://www.meadowmere.com/sites-events/weddings
http://www.meadowmere.com/specials-packages/local-festivals-and-celebrations?page=specials-packages/local-festivals-and-celebrations/fine-living-fest,404,,7/8/2015,Not found,Desktop,7/8/2015,http://www.meadowmere.com/specials-packages/local-festivals-and-celebrations/kennebunkport-maine-festival
